,y_pred,y_test
464,33834.527,33809.19
465,33808.91,33873.62
466,33856.918,33816.49
467,33837.445,33761.08
468,33767.73,33750.0
469,33731.74,33718.88
470,33698.363,33709.01
471,33684.746,33686.48
472,33666.133,33679.55
473,33638.242,33733.96
474,33708.668,33694.39
475,33667.656,33719.32
476,33683.668,33717.98
477,33671.414,33631.07
478,33628.38,33666.32
479,33645.477,33789.25
480,33712.234,33844.57
481,33788.508,33790.38
482,33757.176,33855.48
483,33811.508,33732.35
484,33752.305,33734.53
485,33721.562,33628.07
486,33640.438,33527.52
487,33546.027,33489.32
488,33497.246,33468.46
489,33460.676,33541.35
490,33479.938,33558.58
491,33503.074,33608.59
492,33535.13,33559.06
493,33536.33,33550.36
494,33538.223,33664.97
495,33588.77,33529.39
496,33539.965,33558.27
497,33504.64,33499.03
498,33504.33,33442.99
499,33450.766,33412.37
500,33396.45,33434.02
501,33402.87,33510.9
502,33450.246,33528.12
503,33461.32,33577.08
504,33532.95,33488.35
505,33512.996,33565.56
506,33512.652,33482.61
507,33517.51,33589.1
508,33503.53,33655.6
509,33614.49,33664.8
510,33650.39,33688.69
511,33672.023,33642.37
512,33642.438,33451.72
513,33513.504,33405.48
514,33422.85,33339.96
515,33338.258,33308.14
516,33308.094,33324.39
517,33305.652,33288.36
518,33275.684,33317.6
519,33294.55,33352.0
520,33317.94,33300.74
521,33298.098,33298.07
522,33285.465,33349.91
523,33311.734,33169.65
524,33225.56,33204.3
525,33167.26,33219.54
526,33181.566,33255.51
527,33241.242,33142.37
528,33153.496,33122.01
529,33102.965,33135.9
530,33123.88,33127.79
531,33092.945,33213.11
532,33149.37,33250.26
533,33235.508,33121.43
534,33157.582,33177.19
535,33099.637,33271.13
536,33200.406,33276.3
537,33245.72,33256.08
538,33233.277,33219.69
539,33225.68,33134.63
540,33137.137,33380.0
541,33252.88,33453.02
542,33379.434,33423.0
543,33398.355,33384.92
544,33366.984,33320.55
545,33317.543,33359.01
546,33341.613,33459.21
547,33395.87,33423.96
548,33392.28,33372.82
549,33362.63,33340.99
550,33330.76,33381.92
551,33374.445,33352.85
552,33346.19,33410.54
553,33353.65,33362.94
554,33357.69,33461.17
555,33390.84,33364.36
556,33369.773,33325.82
557,33318.168,33310.41
558,33287.26,33315.18
559,33285.656,33292.5
560,33283.38,33251.55
561,33252.49,33209.13
562,33219.816,33153.87
563,33149.12,33069.48
564,33076.76,33051.05
565,33030.715,33010.1
566,33010.27,32967.72
567,32971.176,33023.83
568,32966.953,32992.37
569,32971.79,33015.26
570,32988.387,32918.98
571,32946.684,32841.23
572,32844.832,32939.56
573,32864.887,33025.3
574,32956.895,33084.19
575,33034.227,33245.94
576,33159.91,33217.51
577,33213.03,33220.21
578,33201.277,33106.39
579,33125.836,33144.27
580,33109.086,33126.61
581,33138.543,33129.89
582,33108.91,33169.19
583,33114.16,33140.5
584,33158.883,33087.21
585,33079.555,33025.7
586,33008.83,32918.98
587,32939.383,32918.97
588,32869.16,32977.61
589,32927.668,32910.51
590,32886.9,32962.65
591,32918.52,32872.91
592,32879.56,32986.79
593,32885.434,32989.48
594,32950.465,33080.67
595,33014.953,33090.69
596,33040.82,33181.77
597,33117.797,33256.25
598,33206.547,33245.71
599,33223.33,33289.97
600,33237.67,33341.71
601,33314.418,33324.74
602,33330.734,33348.23
603,33324.008,33288.46
604,33298.434,33217.83
605,33221.785,33229.29
606,33210.31,33305.34
607,33255.543,33468.46
608,33378.82,33532.41
609,33483.09,33490.66
610,33487.68,33497.63
611,33462.613,33447.19
612,33439.44,33384.6
613,33403.957,33388.52
614,33380.336,33486.68
615,33466.145,33470.24
616,33449.74,33580.96
617,33498.87,33627.02
618,33585.066,33742.77
619,33692.367,33690.33
620,33684.336,33831.65
621,33738.566,33772.87
622,33773.934,33831.63
623,33782.24,33714.82
624,33735.01,33742.95
625,33718.906,33689.46
626,33685.26,33682.83
627,33654.26,33802.39
628,33721.37,33815.07
629,33794.016,33798.32
630,33769.38,33870.42
631,33823.984,33874.83
632,33837.934,33762.02
633,33787.92,33645.31
634,33660.996,33619.16
635,33591.008,33634.9
636,33605.957,33666.76
637,33620.69,33700.95
638,33649.42,33642.21
639,33642.17,33670.67
640,33618.145,33776.4
641,33722.62,33917.0
642,33841.31,33857.48
643,33881.137,33897.81
644,33855.65,33953.6
645,33900.93,33966.23
646,33952.176,33980.52
647,33933.754,34060.95
648,34003.56,34004.82
649,33992.715,34150.0
650,34069.19,34179.39
651,34137.508,34115.39
652,34113.75,34056.11
653,34069.188,34086.31
654,34050.51,33894.85
655,33936.23,33898.89
656,33888.6,34000.0
657,33915.473,33906.79
658,33921.99,33780.57
659,33785.09,33755.81
660,33760.74,33808.84
